city,country,year,avg_global_temp
Milan,Italy,1750,8.72
Milan,Italy,1751,7.98
Milan,Italy,1752,5.78
Milan,Italy,1753,8.39
Milan,Italy,1754,8.47
Milan,Italy,1755,8.36
Milan,Italy,1756,8.85
Milan,Italy,1757,9.02
Milan,Italy,1758,6.74
Milan,Italy,1759,7.99
Milan,Italy,1760,7.19
Milan,Italy,1761,8.77
Milan,Italy,1762,8.61
Milan,Italy,1763,7.50
Milan,Italy,1764,8.40
Milan,Italy,1765,8.25
Milan,Italy,1766,8.41
Milan,Italy,1767,8.22
Milan,Italy,1768,6.78
Milan,Italy,1769,7.69
Milan,Italy,1770,7.69
Milan,Italy,1771,7.85
Milan,Italy,1772,8.19
Milan,Italy,1773,8.22
Milan,Italy,1774,8.77
Milan,Italy,1775,9.18
Milan,Italy,1776,8.30
Milan,Italy,1777,8.26
Milan,Italy,1778,8.54
Milan,Italy,1779,8.98
Milan,Italy,1780,9.43
Milan,Italy,1781,8.10
Milan,Italy,1782,7.90
Milan,Italy,1783,7.68
Milan,Italy,1784,7.86
Milan,Italy,1785,7.36
Milan,Italy,1786,8.26
Milan,Italy,1787,8.03
Milan,Italy,1788,8.45
Milan,Italy,1789,8.33
Milan,Italy,1790,7.98
Milan,Italy,1791,8.23
Milan,Italy,1792,8.09
Milan,Italy,1793,8.23
Milan,Italy,1794,8.53
Milan,Italy,1795,8.35
Milan,Italy,1796,8.27
Milan,Italy,1797,8.51
Milan,Italy,1798,8.67
Milan,Italy,1799,8.51
Milan,Italy,1800,8.48
Milan,Italy,1801,8.59
Milan,Italy,1802,8.58
Milan,Italy,1803,8.50
Milan,Italy,1804,8.84
Milan,Italy,1805,8.56
Milan,Italy,1806,8.43
Milan,Italy,1807,8.28
Milan,Italy,1808,7.63
Milan,Italy,1809,7.08
Milan,Italy,1810,6.92
Milan,Italy,1811,6.86
Milan,Italy,1812,7.05
Milan,Italy,1813,7.74
Milan,Italy,1814,7.59
Milan,Italy,1815,7.24
Milan,Italy,1816,6.94
Milan,Italy,1817,6.98
Milan,Italy,1818,7.83
Milan,Italy,1819,7.37
Milan,Italy,1820,7.62
Milan,Italy,1821,8.09
Milan,Italy,1822,8.19
Milan,Italy,1823,7.72
Milan,Italy,1824,8.55
Milan,Italy,1825,8.39
Milan,Italy,1826,8.36
Milan,Italy,1827,8.81
Milan,Italy,1828,8.17
Milan,Italy,1829,7.94
Milan,Italy,1830,8.52
Milan,Italy,1831,7.64
Milan,Italy,1832,7.45
Milan,Italy,1833,8.01
Milan,Italy,1834,8.15
Milan,Italy,1835,7.39
Milan,Italy,1836,7.70
Milan,Italy,1837,7.38
Milan,Italy,1838,7.51
Milan,Italy,1839,7.63
Milan,Italy,1840,7.80
Milan,Italy,1841,7.69
Milan,Italy,1842,8.02
Milan,Italy,1843,8.17
Milan,Italy,1844,7.65
Milan,Italy,1845,7.85
Milan,Italy,1846,8.55
Milan,Italy,1847,8.09
Milan,Italy,1848,7.98
Milan,Italy,1849,7.98
Milan,Italy,1850,7.90
Milan,Italy,1851,8.18
Milan,Italy,1852,8.10
Milan,Italy,1853,8.04
Milan,Italy,1854,8.21
Milan,Italy,1855,8.11
Milan,Italy,1856,8.00
Milan,Italy,1857,7.76
Milan,Italy,1858,8.10
Milan,Italy,1859,8.25
Milan,Italy,1860,7.96
Milan,Italy,1861,7.85
Milan,Italy,1862,7.56
Milan,Italy,1863,8.11
Milan,Italy,1864,7.98
Milan,Italy,1865,8.18
Milan,Italy,1866,8.29
Milan,Italy,1867,8.44
Milan,Italy,1868,8.25
Milan,Italy,1869,8.43
Milan,Italy,1870,8.20
Milan,Italy,1871,8.12
Milan,Italy,1872,8.19
Milan,Italy,1873,8.35
Milan,Italy,1874,8.43
Milan,Italy,1875,7.86
Milan,Italy,1876,8.08
Milan,Italy,1877,8.54
Milan,Italy,1878,8.83
Milan,Italy,1879,8.17
Milan,Italy,1880,8.12
Milan,Italy,1881,8.27
Milan,Italy,1882,8.13
Milan,Italy,1883,7.98
Milan,Italy,1884,7.77
Milan,Italy,1885,7.92
Milan,Italy,1886,7.95
Milan,Italy,1887,7.91
Milan,Italy,1888,8.09
Milan,Italy,1889,8.32
Milan,Italy,1890,7.97
Milan,Italy,1891,8.02
Milan,Italy,1892,8.07
Milan,Italy,1893,8.06
Milan,Italy,1894,8.16
Milan,Italy,1895,8.15
Milan,Italy,1896,8.21
Milan,Italy,1897,8.29
Milan,Italy,1898,8.18
Milan,Italy,1899,8.40
Milan,Italy,1900,8.50
Milan,Italy,1901,8.54
Milan,Italy,1902,8.30
Milan,Italy,1903,8.22
Milan,Italy,1904,8.09
Milan,Italy,1905,8.23
Milan,Italy,1906,8.38
Milan,Italy,1907,7.95
Milan,Italy,1908,8.19
Milan,Italy,1909,8.18
Milan,Italy,1910,8.22
Milan,Italy,1911,8.18
Milan,Italy,1912,8.17
Milan,Italy,1913,8.30
Milan,Italy,1914,8.59
Milan,Italy,1915,8.59
Milan,Italy,1916,8.23
Milan,Italy,1917,8.02
Milan,Italy,1918,8.13
Milan,Italy,1919,8.38
Milan,Italy,1920,8.36
Milan,Italy,1921,8.57
Milan,Italy,1922,8.41
Milan,Italy,1923,8.42
Milan,Italy,1924,8.51
Milan,Italy,1925,8.53
Milan,Italy,1926,8.73
Milan,Italy,1927,8.52
Milan,Italy,1928,8.63
Milan,Italy,1929,8.24
Milan,Italy,1930,8.63
Milan,Italy,1931,8.72
Milan,Italy,1932,8.71
Milan,Italy,1933,8.34
Milan,Italy,1934,8.63
Milan,Italy,1935,8.52
Milan,Italy,1936,8.55
Milan,Italy,1937,8.70
Milan,Italy,1938,8.86
Milan,Italy,1939,8.76
Milan,Italy,1940,8.76
Milan,Italy,1941,8.77
Milan,Italy,1942,8.73
Milan,Italy,1943,8.76
Milan,Italy,1944,8.85
Milan,Italy,1945,8.58
Milan,Italy,1946,8.68
Milan,Italy,1947,8.80
Milan,Italy,1948,8.75
Milan,Italy,1949,8.59
Milan,Italy,1950,8.37
Milan,Italy,1951,8.63
Milan,Italy,1952,8.64
Milan,Italy,1953,8.87
Milan,Italy,1954,8.56
Milan,Italy,1955,8.63
Milan,Italy,1956,8.28
Milan,Italy,1957,8.73
Milan,Italy,1958,8.77
Milan,Italy,1959,8.73
Milan,Italy,1960,8.58
Milan,Italy,1961,8.80
Milan,Italy,1962,8.75
Milan,Italy,1963,8.86
Milan,Italy,1964,8.41
Milan,Italy,1965,8.53
Milan,Italy,1966,8.60
Milan,Italy,1967,8.70
Milan,Italy,1968,8.52
Milan,Italy,1969,8.60
Milan,Italy,1970,8.70
Milan,Italy,1971,8.60
Milan,Italy,1972,8.50
Milan,Italy,1973,8.95
Milan,Italy,1974,8.47
Milan,Italy,1975,8.74
Milan,Italy,1976,8.35
Milan,Italy,1977,8.85
Milan,Italy,1978,8.69
Milan,Italy,1979,8.73
Milan,Italy,1980,8.98
Milan,Italy,1981,9.17
Milan,Italy,1982,8.64
Milan,Italy,1983,9.03
Milan,Italy,1984,8.69
Milan,Italy,1985,8.66
Milan,Italy,1986,8.83
Milan,Italy,1987,8.99
Milan,Italy,1988,9.20
Milan,Italy,1989,8.92
Milan,Italy,1990,9.23
Milan,Italy,1991,9.18
Milan,Italy,1992,8.84
Milan,Italy,1993,8.87
Milan,Italy,1994,9.04
Milan,Italy,1995,9.35
Milan,Italy,1996,9.04
Milan,Italy,1997,9.20
Milan,Italy,1998,9.52
Milan,Italy,1999,9.29
Milan,Italy,2000,9.20
Milan,Italy,2001,9.41
Milan,Italy,2002,9.57
Milan,Italy,2003,9.53
Milan,Italy,2004,9.32
Milan,Italy,2005,9.70
Milan,Italy,2006,9.53
Milan,Italy,2007,9.73
Milan,Italy,2008,9.43
Milan,Italy,2009,9.51
Milan,Italy,2010,9.70
Milan,Italy,2011,9.52
Milan,Italy,2012,9.51
Milan,Italy,2013,9.61
